,Position,Stock,ISIN,Name
5,2106,VN000000HSP9,HSP,Công ty cổ phần Sơn Tổng hợp Hà Nội
6,2107,VN000000HST1,HST,Công ty cổ phần Phát hành sách và thiết bị trường học Hưng yên
7,2108,VN000000HSV7,HSV,Công ty cổ phần Gang Thép Hà Nội
8,2109,VN000000HT12,HT1,Công ty Cổ phần Xi măng Hà Tiên 1
9,2110,VN000000HT95,HT9,Công ty Cổ phần Phát triển hạ tầng 319
0,2111,VN000000HTB7,HTB,CTCP Xây dựng Huy Thắng
1,2112,VN000000HTC5,HTC,CTCP Thương mại Hóc Môn
2,2113,VN000000HTE1,HTE,Công ty cổ phần Đầu tư Kinh doanh Điện lực Thành phố Hồ Chí Minh
3,2114,VN000000HTG6,HTG,Tổng công ty cổ phần Dệt may Hòa Thọ
4,2115,VN000000HTH4,HTH,Công ty TNHH 1TV Hoa tiêu Hàng hải - TKV ( Tên doanh nghiệp dự kiến sau khi cổ phần hóa: Công ty cổ phần Hoa tiêu hàng hải - TKV)
5,2116,VN000000HTI2,HTI,CTCP Đầu tư Phát triển Hạ tầng IDICO
6,2117,VN000000HTK8,HTK,Công ty cổ phần Đăng kiểm xe cơ giới Hải Dương
7,2118,VN000000HTL6,HTL,CTCP Kỹ thuật và Ô tô Trường Long
8,2119,VN000000HTM4,HTM,Tổng Công ty Thương mại Hà Nội – Công ty cổ phần
9,2120,VN000000HTN2,HTN,Công ty cổ phần Hưng Thịnh Incons
0,2121,VN000000HTP7,HTP,Công ty cổ phần in sách giáo khoa Hòa Phát
1,2122,VN000000HTR3,HTR,Công ty cổ phần Đường sắt Hà Thái
2,2123,VN000000HTS1,HTS,Công ty cổ phần Thép Hương Thịnh
3,2124,VN000000HTT9,HTT,Công ty cổ phần Thương mại Hà Tây
4,2125,VN000000HTU7,HTU,Công ty cổ phần Môi trường và Công trình đô thị Hà Tĩnh
5,2126,VN000000HTV5,HTV,Công ty Cổ phần Logistics Vicem
6,2127,VN000000HTW3,HTW,Công ty cổ phần Cấp nước Hà Tĩnh
7,2128,VN000000HU19,HU1,Công ty cổ phần Đầu tư và Xây dựng HUD1
8,2129,VN000000HU35,HU3,Công ty cổ phần Đầu tư và Xây dựng HUD3
9,2130,VN000000HU43,HU4,Công ty cổ phần Đầu tư và Xây dựng HUD4
0,2131,VN000000HU68,HU6,CTCP Đầu tư Phát triển Nhà và Đô thị HUD6
1,2132,VN000000HUB5,HUB,Công ty Cổ phần Xây lắp Thừa Thiên Huế
2,2133,VN000000HUG4,HUG,Tổng công ty May Hưng Yên – Công ty cổ phần
3,2134,VN000000HUT7,HUT,Công ty cổ phần TASCO
4,2135,VN000000HUX9,HUX,Công ty cổ phần Khoáng sản Thừa Thiên Huế
5,2136,VN000000HVA5,HVA,Công ty cổ phần Đầu tư HVA
6,2137,VN000000HVB3,HVB,Công ty cổ phần bảo hiểm Hùng Vương
7,2138,VN000000HVC1,HVC,Công ty cổ phần Hưng Vượng
8,2139,VN000000HVG2,HVG,Công ty cổ phần Hùng Vương
9,2140,VN000000HVH0,HVH,Công ty cổ phần Đầu tư và Công nghệ HVC
0,2141,VN000000HVN8,HVN,Tổng Công ty Hàng không Việt Nam - CTCP
1,2142,VN000000HVT5,HVT,Công ty Cổ phần Hóa chất Việt Trì
2,2143,VN000000HVX7,HVX,Công ty cổ phần Xi măng Vicem Hải Vân
3,2144,VN000000HWI6,HWI,Công ty cổ phần Đầu tư Xây dựng hạ tầng nước sạch Hà Nội
4,2145,VN000000HWS5,HWS,Công ty Cổ phần Cấp nước Thừa Thiên Huế
5,2146,VN000000I108,I10,Công ty cổ phần Đầu tư xây dựng số 10 IDICO
6,2147,VN000000I405,I40,Công ty Cổ phần Đầu tư Xây dựng 40
7,2148,VN000000IBC1,IBC,Công ty cổ phần Đầu tư Apax Holdings
8,2149,VN000000IBD9,IBD,Công ty cổ phần In Tổng hợp Bình Dương
9,2150,VN000000IBN8,IBN,Công ty TNHH MTV In báo Nghệ An (Tên doanh nghiệp dự kiến sau khi cổ phần hóa: Công ty cổ phần In báo Nghệ An)
0,2151,VN000000ICC9,ICC,Công ty cổ phần Xây dựng công nghiệp
1,2152,VN000000ICF2,ICF,Công ty Cổ phần Đầu Tư Thương Mại Thủy Sản
2,2153,VN000000ICG0,ICG,Công ty cổ phần Xây dựng Sông Hồng
3,2154,VN000000ICI6,ICI,Công ty cổ phần Đầu tư và Xây dựng Công nghiệp
4,2155,VN000000ICL0,ICL,CTCP Xuất nhập khẩu Vĩnh Long
5,2156,VN000000ICN6,ICN,Công ty cổ phần Đầu tư Xây dựng Dầu khí IDICO
6,2157,VN000000ICS5,ICS,"Công ty cổ phần Kiểm định kỹ thuật, an toàn và Tư vấn xây dựng - INCOSAF"
7,2158,VN000000ICT3,ICT,Công ty cổ phần Viễn thông – Tin học Bưu điện
8,2159,VN000000IDC7,IDC,Tổng công ty IDICO - CTCP
9,2160,VN000000IDI4,IDI,Công ty cổ phần Đầu tư và Phát triển Đa quốc gia I.D.I
0,2161,VN000000IDJ2,IDJ,Công ty cổ phần Đầu tư IDJ Việt Nam
1,2162,VN000000IDN4,IDN,Công ty cổ phần In và Dịch vụ Đà Nẵng
2,2163,VN000000IDP9,IDP,Công ty cổ phần Sữa Quốc tế
3,2164,VN000000IDV7,IDV,Công ty Cổ phần Phát triển hạ tầng Vĩnh Phúc
4,2165,VN000000IED3,IED,Công ty cổ phần Xuất nhập khẩu Đồng Nai
5,2166,VN000000IFC2,IFC,Công ty cổ phần Thực phẩm Công nghệ Sài Gòn
6,2167,VN000000IFS8,IFS,Công ty CP thực phẩm Quốc tế
7,2168,VN000000IHK1,IHK,Công ty cổ phần In Hàng không
8,2169,VN000000IJC4,IJC,Công ty CP Phát triển hạ tầng Kỹ thuật
9,2170,VN000000IKH1,IKH,Công ty cổ phần In Khoa học Kỹ thuật
0,2171,VN000000ILA4,ILA,Công ty cổ phần ILA
1,2172,VN000000ILB2,ILB,Công ty cổ phần ICD Tân Cảng - Long Bình
2,2173,VN000000ILC0,ILC,CTCP Hợp tác lao động với nước ngoài
3,2174,VN000000ILS6,ILS,Công ty cổ phần Đầu tư Thương mại và Dịch vụ Quốc tế
4,2175,VN000000IME4,IME,Công ty cổ phần Cơ khí và Xây lắp Công nghiệp
5,2176,VN000000IMI5,IMI,Công ty cổ phần Viện máy và Dụng cụ Công nghiệp
6,2177,VN000000IMP0,IMP,Công ty CP Dược phẩm IMEXPHARM
7,2178,VN000000IMT2,IMT,Công ty cổ phần Xuất nhập khẩu Tổng hợp và Đầu tư Tp.Hồ Chí Minh
8,2179,VN000000IN41,IN4,CTCP In số 4
9,2180,VN000000IN74,IN7,Công ty cổ phần In số 7
0,2181,VN000000INC6,INC,CTCP Tư vấn đầu tư IDICO
1,2182,VN000000ING7,ING,Công ty cổ phần đầu tư và Phát triển Xây dựng
2,2183,VN000000INN3,INN,Công ty cổ phần Bao bì và In Nông nghiệp
3,2184,VN000000IPA5,IPA,Công ty cổ phần Tập đoàn Đầu tư I.P.A
4,2185,VN000000IPH0,IPH,Công ty cổ phần In và Phát hành biểu mẫu thống kê
5,2186,VN000000IRC7,IRC,Công ty cổ phần Cao su Công nghiệp
6,2187,VN000000ISG6,ISG,Công ty cổ phần Vận tải biển và Hợp tác lao động quốc tế
7,2188,VN000000ISH4,ISH,Công ty cổ phần Thủy điện Srok Phu Miêng IDICO
8,2189,VN000000IST9,IST,Công ty cổ phần ICD Tân Cảng Sóng Thần
9,2190,VN000000ITA7,ITA,Công ty CP Đầu tư và Công Nghiệp Tân Tạo
0,2191,VN000000ITC3,ITC,Công ty Cổ phần Đầu tư - Kinh doanh nhà
1,2192,VN000000ITD1,ITD,CTCP Công nghệ Tiên Phong
2,2193,VN000000ITQ3,ITQ,Công ty cổ phần Tập đoàn Thiên Quang
3,2194,VN000000ITS9,ITS,"Công ty cổ phần Đầu tư, Thương mại và Dịch vụ - Vinacomin"
4,2195,VN000000IVS5,IVS,Công ty cổ phần Chứng khoán Guotai Junan (Việt Nam)
5,2196,VN000000JOS8,JOS,Công ty cổ phần Chế biến Thủy sản Xuất khẩu Minh Hải
6,2197,VN000000JSC3,JSC,Công ty cổ phần Đầu tư và Xây dựng Cầu đường Hà Nội
7,2198,VN000000JVC7,JVC,Công ty cổ phần Đầu tư và Phát triển Y tế Việt Nhật
8,2199,VN000000KAC9,KAC,CTCP Đầu tư Địa ốc Khang An
9,2200,VN000000KAL0,KAL,Công ty cổ phần Nhôm Khánh Hoà
0,2201,VN000000KBC7,KBC,Tổng Công ty Phát triển Đô thị Kinh Bắc-CTCP
1,2202,VN0KBC117107,KBC11710,Tổng Công ty Phát triển Đô thị Kinh Bắc-CTCP
2,2203,VN0KBC117123,KBC11712,Tổng Công ty Phát triển Đô thị Kinh Bắc-CTCP
3,2204,VN0KBC118063,KBC11806,Tổng Công ty Phát triển Đô thị Kinh Bắc-CTCP
4,2205,VN0KBC120069,KBC12006,Tổng Công ty Phát triển Đô thị Kinh Bắc-CTCP
5,2206,VNKBC1210209,KBC121020,Tổng Công ty Phát triển Đô thị Kinh Bắc-CTCP
6,2207,VN000000KBE3,KBE,CTCP Sách - Thiết bị Trường học Kiên Giang
7,2208,VN000000KBT1,KBT,CTCP Gạch ngói Kiên Giang
8,2209,VN000000KCB7,KCB,Công ty cổ phần Khoáng sản và Luyện kim Cao Bằng
9,2210,VN000000KCE1,KCE,Công ty cổ phần Bê tông Ly tâm Điện lực Khánh Hòa
0,2211,VN000000KDC3,KDC,Công ty Cổ phần Tập đoàn KIDO
1,2212,VN000000KDF6,KDF,Công ty cổ phần Thực phẩm Đông lạnh KIDO
2,2213,VN000000KDH2,KDH,Công ty CP đầu tư và kinh doanh nhà Khang Điền
3,2214,VN000000KDM2,KDM,Công ty cổ phần Tổng công ty Phát triển khu đô thị Dân cư mới
4,2215,VN000000KDN0,KDN,Công ty cổ phần Xây dựng và Kinh doanh nhà Vĩnh Phúc
5,2216,VN000000KGM5,KGM,Công ty cổ phần Xuất nhập khẩu Kiên Giang
6,2217,VN000000KGR4,KGR,Công ty cổ phần Tập đoàn Điện lạnh điện máy Việt Úc
7,2218,VN000000KGU8,KGU,Công ty cổ phần Phát triển Đô thị Kiên Giang
8,2219,VN000000KHA8,KHA,Công ty cổ phần Đầu tư và Dịch vụ Khánh Hội
9,2220,VN000000KHB6,KHB,Công ty cổ phần khoáng sản Hoà Bình
0,2221,VN000000KHD2,KHD,"Công ty cổ phần Khai thác, Chế biến Khoáng sản Hải Dương"
1,2222,VN000000KHG5,KHG,Công ty cổ phần Bất động sản Khải Hoàn Land
2,2223,VN000000KHL5,KHL,Công ty cổ phần Khoáng sản và Vật liệu Xây dựng Hưng Long
3,2224,VN000000KHP6,KHP,Công ty Cổ phần Điện lực Khánh Hòa
4,2225,VN000000KHS0,KHS,Công ty cổ phần Kiên Hùng
5,2226,VN000000KHW2,KHW,Công ty cổ phần Cấp thoát nước Khánh Hòa
6,2227,VN000000KIP4,KIP,Công ty cổ phần K.I.P Việt Nam
7,2228,VN000000KKC8,KKC,Công ty cổ phần kim khí KKC
8,2229,VN000000KLB8,KLB,Ngân hàng Thương mại cổ phần Kiên Long
9,2230,VN000000KLC6,KLC,Công ty cổ phần Du lịch Kim Liên
0,2231,VN000000KLF9,KLF,CTCP Đầu tư Thương mại và Xuất nhập khẩu CFS
1,2232,VN000000KLM5,KLM,Công ty cổ phần Kim loại màu Nghệ Tĩnh
2,2233,VN000000KLS2,KLS,Công ty Cổ phần Chứng khoán Kim Long
3,2234,VN000000KMR2,KMR,Công ty cổ phần Mirae
4,2235,VN000000KMT8,KMT,Công ty cổ phần Kim Khí Miền Trung
5,2236,VN000000KNA6,KNA,Công ty cổ phần Khoáng sản Nghệ An
6,2237,VN000000KOS6,KOS,Công ty cổ phần Kosy
7,2238,VN000000KPC7,KPC,CTCP Đầu tư sản xuất thương mại Kim Phong
8,2239,VN000000KPF0,KPF,Công ty cổ phần Đầu tư Tài chính Hoàng Minh
9,2240,VN000000KSA5,KSA,Công ty Cổ phần Công nghiệp Khoáng sản Bình Thuận
0,2241,VN000000KSB3,KSB,CTCP Khoáng sản và Xây dựng Bình Dương
1,2242,VN000000KSC1,KSC,Công ty Cổ phần Muối Khánh Hoà
2,2243,VN000000KSD9,KSD,Công ty cổ phần Đầu tư DNA
3,2244,VN000000KSE7,KSE,Công ty cổ phần Xuất khẩu Thủy sản Khánh Hòa
4,2245,VN000000KSF4,KSF,Công ty cổ phần Tập đoàn KSFinance
5,2246,VN000000KSG2,KSG,Công ty cổ phần Khoáng sản và Vật liệu Xây dựng Gia Lai
6,2247,VN000000KSH0,KSH,Công ty cổ phần DAMAC GLS
7,2248,VN000000KSK4,KSK,Công ty cổ phần Khoáng sản luyện kim màu
8,2249,VN000000KSQ1,KSQ,Công ty cổ phần CNC Capital Việt Nam
9,2250,VN000000KSS7,KSS,Công ty cổ phần Khoáng sản Na Rì Hamico
0,2251,VN000000KST5,KST,Công ty Cổ phần KASATI
1,2252,VN000000KSV1,KSV,Tổng Công ty Khoáng sản TKV – CTCP
2,2253,VN000000KTB1,KTB,Công ty cổ phần Đầu tư Khoáng sản Tây Bắc
3,2254,VN000000KTC9,KTC,Công ty cổ phần Thương mại Kiên Giang
4,2255,VN000000KTL0,KTL,Công ty cổ phần Kim khí Thăng Long
5,2256,VN000000KTS5,KTS,Công ty cổ phần Đường Kon Tum
6,2257,VN000000KTT3,KTT,Công ty cổ phần Tập đoàn Đầu tư KTT
7,2258,VN000000KTU1,KTU,Công ty cổ phần Môi trường đô thị Kon Tum
8,2259,VN000000KTW7,KTW,Công ty cổ phần Cấp nước Kon Tum
9,2260,VN000000KVC5,KVC,Công ty cổ phần Sản xuất Xuất nhập khẩu Inox Kim Vĩ
0,2261,VN000000KWA7,KWA,Công ty cổ phần Cấp thoát nước và môi trường Kiến Tường
1,2262,VN000000L102,L10,Công ty cổ phần Lilama 10
2,2263,VN000000L128,L12,Công ty cổ phần Licogi 12
3,2264,VN000000L144,L14,Công ty cổ phần Licogi 14
4,2265,VN000000L185,L18,Công ty Cổ phần Đầu tư và xây dựng số 18
5,2266,VN000000L359,L35,Công ty Cổ phần Cơ khí Lắp máy Lilama
6,2267,VN000000L409,L40,Công ty cổ phần Đầu tư và Xây dựng 40
7,2268,VN000000L433,L43,Công ty Cổ phần Lilama 45.3
8,2269,VN000000L441,L44,CTCP Lilama 45.4
9,2270,VN000000L458,L45,Công ty cổ phần Lilama 45.1
0,2271,VN000000L615,L61,Công ty Cổ phần Lilama 69-1
1,2272,VN000000L623,L62,Công ty cổ phần Lilama 69-2
2,2273,VN000000L631,L63,Công ty cổ phần Lilama 69-3
3,2274,VN000000LAF0,LAF,Công ty Cổ phần Chế biến hàng Xuất khẩu Long An
4,2275,VN000000LAI4,LAI,Công ty cổ phần Đầu tư Xây dựng Long An IDICO
5,2276,VN000000LAS3,LAS,Công ty cổ phần Supe Phốt phát và Hóa chất Lâm Thao
6,2277,VN000000LAW5,LAW,Công ty cổ phần cấp thoát nước Long An
7,2278,VN000000LBC5,LBC,Công ty cổ phần Thương mại - Đầu tư Long Biên
8,2279,VN000000LBE1,LBE,CTCP Sách và Thiết bị trường học Long An
9,2280,VN000000LBM4,LBM,Công ty Cổ phần Khoáng sản và Vật liệu Xây dựng Lâm Đồng
0,2281,VN000000LCC3,LCC,Công ty cổ phần Xi măng Hồng Phong
1,2282,VN000000LCD1,LCD,Công ty cổ phần Lắp máy - Thí nghiệm cơ điện
2,2283,VN000000LCG4,LCG,Công ty cổ phần LICOGI 16
3,2284,VN000000LCM2,LCM,Công ty cổ phần Khai thác và Chế biến Khoáng sản Lào Cai
4,2285,VN000000LCS9,LCS,Công ty cổ phần LICOGI 166
5,2286,VN000000LCW1,LCW,Công ty cổ phần Nước sạch Lai Châu
6,2287,VN000000LDG2,LDG,Công ty cổ phần Đầu tư LDG
7,2288,VN000000LDP3,LDP,CTCP Dược Lâm Đồng - Ladophar
8,2289,VN000000LDU3,LDU,Công ty cổ phần Dịch vụ và Đầu tư Phát triển Đô thị huyện Long Điền
9,2290,VN000000LDW9,LDW,Công ty cổ phần Cấp thoát nước Lâm Đồng
0,2291,VN000000LEC9,LEC,Công ty cổ phần Bất động sản điện lực Miền Trung
1,2292,VN000000LG94,LG9,Công ty Cổ phần Cơ giới và Xây lắp số 9
2,2293,VN000000LGC4,LGC,Công ty Cổ phần Đầu tư Cầu đường CII
3,2294,VN000000LGL5,LGL,Công ty cổ phần Đầu tư và Phát triển đô thị Long Giang
4,2295,VN000000LGM3,LGM,Công ty cổ phần Giầy da và May mặc Xuất khẩu (LEGAMEX)
5,2296,VN000000LHC2,LHC,CTCP Đầu tư và Xây dựng Thủy Lợi Lâm Đồng
6,2297,VN000000LHG3,LHG,Công ty cổ phần Long Hậu
7,2298,VN000000LIC0,LIC,Tổng Công ty Licogi – CTCP
8,2299,VN000000LIG1,LIG,Công ty cổ phần LICOGI 13
9,2300,VN000000LIX6,LIX,Công ty cổ phần Bột giặt LIX
0,2301,VN000000LKW4,LKW,Công ty cổ phần Cấp nước Long Khánh
1,2302,VN000000LLM3,LLM,Tổng công ty lắp máy Việt Nam - CTCP
2,2303,VN000000LM39,LM3,Công ty Cổ phần Lilama 3
3,2304,VN000000LM70,LM7,Công ty cổ phần Lilama 7
4,2305,VN000000LM88,LM8,Công ty Cổ phần Lilama 18
5,2306,VN000000LMC2,LMC,Công ty Cổ phần Khoáng sản Latca
6,2307,VN000000LMH1,LMH,Công ty cổ phần Landmark Holding
7,2308,VN000000LMI9,LMI,Công ty cổ phần Đầu tư xây dựng lắp máy IDICO
8,2309,VN000000LMR0,LMR,Công ty cổ phần Liên Minh
9,2310,VN000000LNC0,LNC,Công ty cổ phần Lệ Ninh
0,2311,VN000000LO52,LO5,Công ty cổ phần Lilama 5
1,2312,VN000000LPB7,LPB,Ngân hàng Thương mại cổ phần Bưu điện Liên Việt
2,2313,VN000000LPT9,LPT,Công ty cổ phần Thương mại và Sản xuất Lập Phương Thành
3,2314,VN000000LQN0,LQN,Công ty cổ phần Licogi Quảng Ngãi
4,2315,VN000000LSG0,LSG,Công ty cổ phần Bất động sản Sài Gòn Vi na
5,2316,VN000000LSS5,LSS,Công ty Cổ phần Mía đường Lam Sơn
6,2317,VN000000LTC7,LTC,Công ty cổ phần Điện nhẹ Viễn thông
7,2318,VN000000LTG8,LTG,Công ty cổ phần Tập đoàn Lộc Trời
8,2319,VN000000LTQ7,LTQ,Công ty TNHH Một thành viên Lâm nghiệp Nguyễn Văn Trỗi (Tên doanh nghiệp dự kiến sau khi cổ phần hóa: Công ty cổ phần Lâm nghiệp Nguyễn Văn Trỗi)
9,2320,VN000000LUT9,LUT,CTCP Đầu tư Xây dựng Lương Tài
0,2321,VN000000LVN0,LVN,Công ty cổ phần Len Việt Nam
1,2322,VN000000LWS7,LWS,Công ty cổ phần Cấp nước tỉnh Lào Cai
2,2323,VN000000LYF0,LYF,Công ty TNHH Một thành viên Lương thực Lương Yên (Tên doanh nghiệp dự kiến sau khi cổ phần hóa: Công ty cổ phần Lương thực Lương Yên)
3,2324,VN000000M100,M10,Tổng công ty May 10 - Công ty cổ phần
4,2325,VN000000M266,M26,Công ty cổ phần Đầu tư Kinh doanh và Xây dựng 126
5,2326,VN000000MA16,MA1,Công ty cổ phần Thiết bị
6,2327,VN000000MAC5,MAC,Công ty cổ phần Cung ứng và Dịch vụ Kỹ thuật Hàng Hải
7,2328,VN000MAFPF14,MAFPF1,Công ty TNHH Quản Lý Quỹ MANULIFE Việt Nam
8,2329,VN000000MAS1,MAS,Công ty cổ phần Dịch vụ Hàng không Sân bay Đà Nẵng
9,2330,VN000000MAX1,MAX,Công ty cổ phần Khai Khoáng và Cơ khí Hữu Nghị Vĩnh Sinh
0,2331,VN000000MBB5,MBB,Ngân hàng thương mại cổ phần Quân Đội
1,2332,VN000000MBG4,MBG,Công ty cổ phần Tập đoàn MBG
2,2333,VN000000MBN0,MBN,Công ty cổ phần Môi trường và Công trình đô thị Bắc Ninh
3,2334,VN000000MBS9,MBS,Công ty cổ phần Chứng khoán MB
4,2335,VN000000MC30,MC3,Công ty cổ phần Khoáng sản 3 - Vimico
5,2336,VN000000MCC1,MCC,CTCP Gạch Ngói Cao Cấp
6,2337,VN000000MCD9,MCD,Công ty cổ phần Môi trường và Công trình Đô thị Đông Hà
7,2338,VN000000MCF4,MCF,Công ty cổ phần Xây lắp Cơ khí và Lương thực thực phẩm
8,2339,VN000000MCG2,MCG,Công ty cổ phần Năng lượng và Bất động sản MCG
9,2340,VN000000MCH0,MCH,Công ty cổ phần Hàng tiêu dùng MASAN
0,2341,VN000000MCI8,MCI,Công ty cổ phần Đầu tư Xây dựng và Phát triển vật liệu IDICO
1,2342,VN000000MCJ6,MCJ,Công ty cổ phần Thiết bị Phụ tùng
2,2343,VN000000MCL2,MCL,Công ty cổ phần Phát triển nhà và Sản xuát vật liệu xây dựng Chí linh
3,2344,VN000000MCM0,MCM,Công ty cổ phần Giống bò sữa Mộc Châu
4,2345,VN000000MCO6,MCO,Công ty cổ phần Đầu tư và Xây dựng BDC Việt Nam
5,2346,VN000000MCP3,MCP,Công ty cổ phần In và Bao bì Mỹ Châu
6,2347,VN000000MCS7,MCS,Công ty cổ phần Thi Công cơ giới Xây lắp
7,2348,VN000000MCT5,MCT,Công ty cổ phần Kinh doanh Vật tư và Xây dựng
8,2349,VN000000MCV1,MCV,Công ty cổ phần Cavico Việt Nam khai thác mỏ và xây dựng
9,2350,VN000000MDA3,MDA,Công ty cổ phần Môi trường Đô thị Đông Anh
0,2351,VN000000MDC9,MDC,Công ty Cổ phần Than Mông Dương - Vinacomin
1,2352,VN000000MDD7,MDD,Công ty cổ phần Mai Động
2,2353,VN000000MDF2,MDF,Công ty Cổ phần Gỗ MDF VRG - Quảng Trị
3,2354,VN000000MDG0,MDG,Công ty cổ phần Miền Đông
4,2355,VN000000MDN6,MDN,Công ty cổ phần Tổng Công ty May Đồng Nai
5,2356,VN000000MDT3,MDT,Công ty cổ phần Cơ khí Mỏ và Đóng tàu - TKV
6,2357,VN000000MEC7,MEC,Công ty cổ phần Cơ khí - Lắp máy Sông Đà
7,2358,VN000000MED5,MED,Công ty cổ phần Dược Trung ương Mediplantex
8,2359,VN000000MEF0,MEF,Công ty cổ phần MEINFA
9,2360,VN000000MEG8,MEG,Công ty cổ phần Megram
0,2361,VN000000MEL8,MEL,Công ty Cổ phần Thép Mê Lin
1,2362,VN000000MES3,MES,Công ty cổ phần Cơ điện Công trình
2,2363,VN000000MEY1,MEY,Công ty cổ phần Tập đoàn Meey Land
3,2364,VN000000MFS0,MFS,Công ty cổ phần Dịch vụ kỹ thuật Mobifone
4,2365,VN000000MGC2,MGC,Công ty cổ phần Địa chất mỏ - TKV
5,2366,VN000000MGG3,MGG,Tổng công ty Đức Giang - Công ty cổ phần
6,2367,VN000000MH35,MH3,Công ty cổ phần Khu Công nghiệp Cao su Bình Long
7,2368,VN000000MHC0,MHC,Công ty cổ phần MHC
8,2369,VN000000MHL1,MHL,Công ty cổ phần Minh Hữu Liên
9,2370,VN000000MHP2,MHP,Công ty cổ phần Môi trường và Dịch vụ Đô thị Việt Trì
0,2371,VN000000MHY4,MHY,Công ty cổ phần Môi trường và Công trình Đô thị Hưng Yên
1,2372,VN000000MIC8,MIC,Công ty cổ phần Kỹ nghệ Khoáng sản Quảng Nam
2,2373,VN000000MIE4,MIE,Tổng Công ty Máy và Thiết bị Công nghiệp - CTCP
3,2374,VN000000MIG9,MIG,Tổng Công ty Cổ phần Bảo hiểm Quân Đội
4,2375,VN000000MIH7,MIH,CTCP Xuất nhập khẩu khoáng sản Hà Nam
5,2376,VN000000MIM7,MIM,Công ty cổ phần Khoáng sản và Cơ khí
6,2377,VN000000MJC6,MJC,CTCP Thương mại Mộc Hoá
7,2378,VN000000MKP6,MKP,CTCP Hóa - Dược phẩm Mekophar
8,2379,VN000000MKT8,MKT,Công ty cổ phần Dệt Minh Khai
9,2380,VN000000MKV4,MKV,Công ty cổ phần Dược Thú y Cai Lậy
0,2381,VN000000MLC2,MLC,Công ty cổ phần Môi trường đô thị tỉnh Lào Cai
1,2382,VN000000MLG3,MLG,Công ty cổ phần Tập đoàn Mai Linh
2,2383,VN000000MLN9,MLN,Công ty cổ phần Mai Linh Miền Bắc
3,2384,VN000000MLS8,MLS,Công ty cổ phần Chăn nuôi - Mitraco
4,2385,VN000000MMC0,MMC,Công ty Cổ phần Khoáng sản Mangan
5,2386,VN000000MML1,MML,Công ty cổ phần Masan MeatLife
6,2387,VNMML1210211,MML121021,Công ty cổ phần Masan Meatlife
7,2388,VN000000MNB0,MNB,Tổng công ty May Nhà Bè - Công ty cổ phần
8,2389,VN000000MNC8,MNC,Công ty Cổ phần Mai Linh Miền Trung
9,2390,VN000000MND6,MND,Công ty cổ phần Môi trường Nam Định
0,2391,VN000000MPC3,MPC,CTCP Tập đoàn Thủy sản Minh Phú
1,2392,VN000000MPT7,MPT,Công ty cổ phần Tập đoàn MPT
2,2393,VN000000MPY7,MPY,Công ty cổ phần Môi trường đô thị Phú Yên
3,2394,VN000000MQB3,MQB,Công ty cổ phần Môi trường và Phát triển đô thị Quảng Bình
4,2395,VN000000MQN8,MQN,Công ty cổ phần Môi trường Đô thị Quảng Ngãi
5,2396,VN000000MRF2,MRF,Công ty cổ phần Merufa
6,2397,VN000000MSB9,MSB,Ngân hàng Thương mại cổ phần Hàng Hải Việt Nam
7,2398,VN000000MSC7,MSC,Công ty cổ phần Dịch vụ Phú Nhuận
8,2399,VN000000MSH6,MSH,Công ty cổ phần May Sông Hồng
9,2400,VN000000MSI4,MSI,Công ty cổ phần Chứng khoán KB Việt Nam
0,2401,VN000000MSN4,MSN,Công ty Cổ phần Tập đoàn Masan
1,2402,VN0MSN117186,MSN11718,Công ty Cổ phần Tập đoàn Masan
2,2403,VN0MSN117194,MSN11719,Công ty Cổ phần Tập đoàn Masan
3,2404,VN0MSN119067,MSN11906,Công ty Cổ phần Tập đoàn Masan
4,2405,VNMSN1200074,MSN120007,Công ty Cổ phần Tập đoàn Masan
5,2406,VNMSN1200082,MSN120008,Công ty Cổ phần Tập đoàn Masan
6,2407,VNMSN1200090,MSN120009,Công ty Cổ phần Tập đoàn Masan
7,2408,VN0MSN120016,MSN12001,Công ty Cổ phần Tập đoàn Masan
8,2409,VNMSN1200108,MSN120010,Công ty Cổ phần Tập đoàn Masan
9,2410,VNMSN1200116,MSN120011,Công ty Cổ phần Tập đoàn Masan
0,2411,VNMSN1200124,MSN120012,Công ty Cổ phần Tập đoàn Masan
1,2412,VN0MSN120024,MSN12002,Công ty Cổ phần Tập đoàn Masan
2,2413,VN0MSN120032,MSN12003,Công ty Cổ phần Tập đoàn Masan
3,2414,VN0MSN120057,MSN12005,Công ty Cổ phần Tập đoàn Masan
4,2415,VNMSN1210131,MSN121013,Công ty Cổ phần Tập đoàn Masan
5,2416,VNMSN1210149,MSN121014,Công ty Cổ phần Tập đoàn Masan
6,2417,VNMSN1210156,MSN121015,Công ty Cổ phần Tập đoàn Masan
7,2418,VN000000MSR5,MSR,Công ty Cổ phần Masan High-Tech Materials
8,2419,VN0MSR116069,MSR11606,Công ty TNHH Một thành viên Thương mại và Đầu tư Thái Nguyên
9,2420,VNMSR1180012,MSR118001,Công ty Cổ phần Masan High-Tech Materials
0,2421,VN0MSR118081,MSR11808,Công ty Cổ phần Masan High-Tech Materials
1,2422,VN000000MST1,MST,Công ty cổ phần Đầu tư MST
2,2423,VN000000MT98,MT9,Công ty cổ phần 319 Miền Trung
3,2424,VN000000MTA9,MTA,Tổng công ty Khoáng sản và Thương mại Hà Tĩnh - CTCP
